Grand,"grandioso, magnificente$",0
View,"vista, visão$visão, parecer, ideia$vista, visão$ver$ver$",0
Reach,"chegar a$alcançar$poder alcançar algo$chegar a uma decisão, acordo, conclusão, etc.$chegar a, atingir, alcançar$",0
Brief,"breve$breve$em poucas palavras$brevemente$",0
Term,"trimestre$termo$prazo, mandato, período$trimestre$a curto/longo prazo$",0
Build,"construir, edificar, erigir$constituição$",0
Grey,"cinza, grisalho$cinza$",0
Period,"período$aula$ponto final$",0
Involve,"envolver$envolver$incluir$",0
Funny,"engraçado, divertido$estranho, esquisito$",0
Centre,"centro$centro (esportivo, de música, etc.)$ser o centro das atenções$",0
Spend,"gastar, despender$passar$",0
Severe,"grave, duro, severo$severo$com severidade, gravemente$",0
Figure,"número, dígito$forma$silhueta$figura$achar, imaginar$",0
Return,"voltar, retornar$devolver, responder$retorno a algo$retornar$retorno, volta, regresso$",0
Vast,"vasto$",0
Society,"sociedade$sociedade$",0
Draw,"desenhar$atrair$mover-se$puxar$aproximar-se$",0
Ill,"doente, enfermo$ficar doente$forma abreviada de “I will”$",0
Police,"polícia$",0
Die,"morrer$morrer de vontade de ter/fazer algo$",0
Weak,"fraco$fraco, deficiente$frágil$fraco, aguado$fraco$",0
City,"cidade, metrópole$",0
Hope,"esperar$esperar fazer algo$esperança$esperança$na esperança de/que$",0
Brown,"marrom, castanho$marrom, castanho$",0
Create,"criar, produzir, inventar$",0
Sick,"doente$sentir-se enjoado$vomitar$ficar doente$estar farto de alguém/algo$",0
Community,"comunidade$comunidade, colônia$",0
Walk,"andar, caminhar, passeaer$passeio, caminhada$",0
Near,"próximo (de), perto (de)$próximo (de), perto (de)$perto, próximo$em um futuro próximo$",0
Million,"milhão$muitos, muitas$uma pessoa especial, um anjo$estar fabuloso$estar fabuloso$",0
Sell,"vender$vender$",0
Angry,"zangado, bravo, raivoso$",0
Kind,"tipo, espécie$todos os tipos de$esse tipo de coisa$tipo$algum tipo de$",0
Wait,"esperar, aguardar$não ver a hora de fazer algo$espere um minuto, um segundo, etc.$fazer alguém esperar$espera$",0
Well,"bem$bem$bem$muito bem!, parabéns!$também$",0
Price,"preço$fixar o preço de$",0
Cause,"causar, originar$causa, razão, origem$motivo, razão$causa$",0
Guilty,"culpado$culpado$",0
Control,"controle, comando$sob controle$fora de controle$controle$controle, fiscalização$",0
Pass,"passar$passar por, ultrapassar$passar$passar$passar$",0
Lucky,"de sorte, com sorte, sortudo$ter sorte$",0
Action,"ação$ação$tomar medidas, atuar$enguiçado, fora de combate$",0
Lie,"deitar, estar deitado$estar$estar$mentir$mentira$",0
Tough,"difícil, duro$duro$duro$forte, resistente$dureza, resistência$",0
Cost,"custo, gasto$a todo custo$custar$custar$custar um dinheirão$",0
Accept,"aceitar$aceitar$aceitar a responsabilidade/a culpa$",0
Glad,"contente, satisfeito$feliz$",0
Issue,"assunto, questão, ponto de debate$edição, número$expedir, fornecer$",0
Watch,"olhar, observar, assistir$tomar cuidado (com)$relógio de pulso$sentinela, vigia$",0
Yellow,"amarelo$amarelo$",0
Process,"processo$processo$dar andamento a$",0
Raise,"levantar, elevar, subir$aumentar$criar$angariar (fundos)$levantar uma questão, um assunto, etc.$",0
Net,"forma abreviada de “the internet”$rede$rede$líquido$forma abreviada de “the internet”$",0
Position,"posição$posição$posição$posição$cargo$",0
Base,"base, fundamento$base militar$base$",0
Dear,"caro$querido$caro, dispendioso$ai, meu Deus!$querido$",0
Course,"é claro$é claro$é claro que não$curso, estudos$prato$",0
Apply,"solicitar, candidatar-se$aplicar-se, dizer respeito$aplicar$",0
Healthy,"saudável, são, sadio$saudável, são, sadio$",0
Minute,"minuto$minuto, momento$espere só um minuto$de última hora$a qualquer momento$",0
Break,"quebrar(-se)$quebrar$quebrar$parar, fazer uma pausa$quebrar (promessa)$",0
Slight,"ligeiro, leve$delgado, miúdo$",0
Education,"educação, ensino$educativo, educacional$",0
Explain,"explicar$",0
Friendly,"amigável, simpático$ser amigo de alguém$simpatia, amizade$",0
Type,"tipo$digitar$digitação, datilografia$",0
Learn,"aprender$aprender, decorar$inteirar-se, ficar sabendo$aprender$",0
Flat,"plano, liso, estirado$furado$plano$plano$a toda, a todo vapor$",0
Research,"pesquisa$pesquisar$pesquisador, -ora$",0
Increase,"aumentar$aumento, alta$",0
Keen,"entusiasmado, aficionado, apaixonado$estusiasmado$aguçado, agudo$",0
